,152115001 ADVANCED PROGRAMMING,152115021 BÜYÜK VERİ İŞLENMESİ,152117003 DATA SECURITY,152117005 IMAGE PROCESSING,152117007 DATABASE PROGRAMMING,152117008 DISTRIBUTED SYSTEMS,152117106 INTRODUCTION TO AUTONOMOUS MOBILE ROBOTS,152117107 INTRODUCTION TO ARTIFICIAL INTELLIGENCE,152117111 MOBİL PROGRAMLAMA,152117116 INTRODUCTION TO SECURE CODING,152117117 INTRODUCTION TO RECOMMENDER SYSTEM,152117118 BÜYÜK VERİ İŞLENMESİ,152117119 DERİN ÖĞRENMEYE GİRİŞ,152117121 INTRODUCTION TO WIRELESS SENSOR NETWORKS,152117115 ADVANCED PROGRAMMING,152117120 PROBLEMS IN DATA STRUCTURES AND ALGORITHMS,152118004 SYSTEMS ANALYSIS,152118016 NETWORK APPLICATIONS,152118026 INTRODUCTION TO VHDL,152118028 INTRODUCTION TO VHDL,152118030 WEB BASED TECHNOLOGIES,152118033 PATTERN RECOGNITION,152118034 INTRO. TO DATA MINING,152118035 NETWORK APPLICATIONS UE,152118514 AĞ GÜVENLİĞİ,152118616 OTONOM ROBOTİK SENTEZ VE TASARIMI,152118633 MAKİNE ÖĞRENMESİ,152118001 PARALLEL PROGRAMMING,152118003 NEURAL NETWORKS,152118018 REAL TIME DSP SYSTEM DESIGN,152118023 KURUMSAL JAVA,152118024 HESAPLAMA GEOMETRİSİ,152118036 COMPUTER SECURITY,152118513 SİSTEM PROGRAMLAMA,152118632 BULANIK MANTIK,152118634 COMPUTER SECURITY,152118635 WEB BASED TECHNOLOGIES
152114007 DIGITAL SYSTEMS II,0.04632615226541542,0.1520448074352096,0.01603597578418226,0.0548652253244978,-1.0,0.026726626306970435,-1.0,0.006842016334584432,0.03601061228728648,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0450132653591081,0.0318233317887648,-1.0,0.0,0.095028004647006,0.08102387764639458,0.0437570812095516,0.023867498841573596,0.03947317116106403,0.1710504083646108,-1.0,0.03887509281013882,-1.0,-1.0,0.04354010394735547,0.026315447440709353,-1.0,0.02138130104557635,-1.0,-1.0,-1.0
152114008 DIGITAL SYSTEMS LAB.,0.05217088937662677,0.17141863652320224,0.008332850386544553,0.07390875995022125,-1.0,0.029627912485491743,-1.0,0.0,0.04444186872823762,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05882012037560862,0.03999768185541386,-1.0,-1.0,0.11723458474862682,0.09999420463853465,0.04444186872823762,0.03529207222536517,0.03636152895946714,-1.0,-1.0,0.05454229343920071,-1.0,-1.0,0.04705609630048689,0.03636152895946714,-1.0,0.04999710231926732,-1.0,-1.0,-1.0
152114011 DOSYA YAPILARI,0.10147441457068519,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10429314830875977,-1.0,-1.0,0.31287944492627934,-1.0,-1.0,0.0,-1.0,0.4171725932350391,-1.0,0.0,-1.0,-1.0,0.06418039895923679,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
152114012 BİÇİMSEL DİLLER VE OTOMATA,0.03121384020955022,0.031410648785902995,0.020461246424989442,0.04395795248445534,0.06050682871389734,0.026754720179614475,-1.0,0.01210136574277947,0.018784799764118457,0.07453739769103296,0.04481987312140544,0.00403378858092649,0.02291925330071869,0.08145150019178489,0.05602484140175681,-1.0,0.040818098735565675,0.01680745242052704,-1.0,0.0,0.05261463366425856,0.039460975248193926,0.022220021844086595,0.0272963137055176,0.02750310396086243,-1.0,0.015648317770835522,0.06722980968210816,-1.0,-1.0,0.03637022490999294,0.019078729774652317,0.03361490484105408,0.018335402640574955,0.028812775578046356,0.025211178630790563,-1.0
152114013 OBJECT ORIENTED PROGRAMMING II,0.02642429836796446,0.032173847640278634,0.020658996905863123,0.043148537841359684,0.06767602434679298,0.03380563130050329,-1.0,0.009222766475831751,0.021212362894413025,0.07634846682601588,0.041317993811726246,0.01589153608143317,0.034431661509771866,0.09503138576697036,0.05738610251628645,-1.0,0.045026018897393986,0.01589153608143317,0.0,-1.0,0.053560362348534014,0.04162633704912719,0.01999257765083528,0.028244722332234736,0.023241371519096013,-1.0,0.019747570571780924,0.019367809599246676,-1.0,-1.0,0.034987010888961736,0.01807662229263023,0.03320195931299431,0.020658996905863123,0.025823746132328903,0.025823746132328903,-1.0
152114014 OBJECT ORIENTED PROGRAMMING II LAB.,0.02743481961301418,0.03139176474950661,0.01986659351287234,0.04401002312921025,0.06515769658090868,0.02773965094204767,-1.0,0.009602186864554964,0.018063519844212308,0.07755612467525164,0.032007289548516546,0.015363498983287942,0.02902986726493361,0.0880200462584205,0.053345482580860915,-1.0,0.04431778552871522,0.01694503564333229,-1.0,-1.0,0.0528120277550523,0.03530215759027561,0.020215130241168344,0.02814434080990248,0.02400546716138741,-1.0,0.018289879742009452,0.06401457909703309,-1.0,-1.0,0.032007289548516546,0.018004100371040558,0.030864172064640958,0.025049183124925992,0.02743481961301418,0.02400546716138741,-1.0
152114015 ALGORITHMS AND COMPLEXITY,0.029791243273225958,0.030453270901519867,0.016258949718608064,0.03185020993369968,0.06293675986314105,0.03140493561719236,-1.0,0.010360391131444904,0.014345755713939111,0.060906541803039733,0.038066588626899836,0.014055355800701478,0.03177732615810769,0.07856943892592126,0.05075545150253311,-1.0,0.03542523349768638,0.013051401814937085,0.0456799063522798,0.0,0.03574949192787115,0.028475785778044552,0.017465846546459923,0.02644626157237252,0.025495761684993377,0.0913598127045596,0.016190346555238412,0.013051401814937085,-1.0,-1.0,0.033101381414695506,0.021496426518719906,0.026523816591646338,0.015661682177924505,0.030453270901519867,0.0228399531761399,-1.0
152114016 SAYISAL SİSTEMLER II,0.07195990252507951,0.045373731641429445,0.05060916221544053,0.07538656455008329,-1.0,0.10965318480012115,-1.0,0.0,0.03462732151582773,0.16447977720018173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07538656455008329,-1.0,-1.0,-1.0,-1.0,0.057567922020063604,0.02990541403639668,0.03575647330438733,0.03870112404710158,-1.0,0.032895955440036345,-1.0,-1.0,-1.0,0.11307984682512494,-1.0,0.05286849981434413,0.011748555514298695,0.0,-1.0,-1.0
152114017 SAYISAL SİSTEMLER LAB.,0.0710280717214728,0.05249900953326251,0.0627260893124695,0.08624837280464555,-1.0,0.08624837280464555,-1.0,0.0,0.04539388042349765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08624837280464555,-1.0,-1.0,-1.0,-1.0,0.09288286302038751,0.021562093201161387,0.03942782756783796,0.03696358834484809,-1.0,0.11499783040619406,-1.0,-1.0,-1.0,0.11942082388335537,-1.0,0.059710411941677685,0.024642392229898728,-1.0,-1.0,-1.0
152114020 SAYISAL TASARIM LAB.,0.02541360411072997,0.01203802299981946,0.025016516546499817,0.0762408123321899,0.07458340336844665,0.05082720822145994,-1.0,0.04213308049936811,0.03009505749954865,0.07277532086254491,0.06099264986575193,0.015248162466437983,0.034943705652253715,0.1034696738794006,0.07147576156142804,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05082720822145994,0.014295152312285609,0.044847536665994066,0.08168658464163206,-1.0,0.010165441644291989,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.057180609249142436,0.04574448739931395,0.0,-1.0
152114021 PROBABILITY,0.038036443728150016,0.01819134265259349,0.021131357626750013,0.08368017620193004,0.09655404946376543,0.04922363305995885,-1.0,0.01673603524038601,0.027893392067310018,0.09297797355770004,0.03719118942308002,0.007340366333502635,0.03576075906065386,0.1104113435997688,0.0871668502103438,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.030318904420989147,0.02145645543639232,0.05195827934106768,0.06339407288025004,-1.0,0.01992385147665001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.055786784134620036,0.03486674008413752,0.0,-1.0
152114022 İŞ SAĞLIĞI VE GÜVENLİĞİ II,0.03369554037383009,0.021487011252877157,0.022463693582553394,0.06739108074766018,0.07520453938507006,0.05295013487316157,-1.0,0.023165684007008185,0.05702322217109708,0.07721894669002728,-1.0,0.009503870361849513,0.02807961697819174,0.10174731799156536,0.07721894669002728,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.020591719117340607,0.060338525785695735,0.09884025176323494,-1.0,0.02011284192856525,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07060017983088208,0.041183438234681215,0.041183438234681215,-1.0
152115001 ADVANCED PROGRAMMING,-1.0,0.043841851067292555,0.03384283240282232,0.0370969509030937,-1.0,0.06705224280880037,-1.0,0.0,0.017536740426917025,0.17536740426917022,0.03507348085383405,0.043841851067292555,0.03507348085383405,-1.0,-1.0,-1.0,0.043841851067292555,0.025052486324167175,0.05845580142305674,-1.0,0.06624990827946431,0.07174121083738783,0.02922790071152837,0.02922790071152837,0.025052486324167175,-1.0,0.043841851067292555,0.017536740426917025,-1.0,-1.0,0.038970534282037825,0.017536740426917025,0.025052486324167175,0.019485267141018912,-1.0,0.0,-1.0
152115002 OBJECT ORIENTED PROGRAMMING II,0.24445689866435763,-1.0,0.04612394314421842,0.04656321879321097,-1.0,0.09630120250414088,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.032594253155247686,0.0814856328881192,-1.0,0.09096070647976098,-1.0,-1.0,-1.0,-1.0,0.24445689866435763,-1.0,0.048891379732871526,-1.0,-1.0,0.03760875364067041,0.030557112333044704,-1.0,-1.0,-1.0,-1.0,-1.0
152115003 NUMERICAL METHODS,-1.0,-1.0,0.1673584592395816,0.17781836294205544,-1.0,0.07903038352980242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.4572472189938569,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.11854557529470362,-1.0,-1.0,-1.0,-1.0,-1.0
152115004 INTRODUCTION TO MICROCOMPUTER,0.25466539152120454,-1.0,0.04716025768911195,0.0487657132700179,-1.0,0.08988190288983691,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.044940951444918456,0.07276154043462987,-1.0,0.09620692568578838,-1.0,-1.0,-1.0,-1.0,0.25466539152120454,-1.0,0.01819038510865747,-1.0,-1.0,0.03638077021731494,0.03638077021731494,-1.0,-1.0,-1.0,-1.0,-1.0
152115005 PROBABILITY,0.05650514184969395,0.05017656596252822,0.024506259322358108,0.04079395606709611,-1.0,0.06371627423813107,-1.0,0.02756954173765287,0.02181589824457749,0.11150347991672939,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.06248039822920181,0.016397570575989614,0.09291956659727447,0.01991133569941596,0.05931036165783478,0.050581215688032484,0.05026796225754194,0.023841204587458587,0.030299858673024288,-1.0,0.029343021030718258,0.03801254997161229,-1.0,-1.0,0.04156927979351753,0.024596355863984426,0.04065231038630759,0.02322989164931862,-1.0,-1.0,-1.0
152115006 INTRODUCTION TO OPERATING SYSTEMS,0.10540624216209156,0.18822543243230636,0.02377584409671238,0.059439610241780946,-1.0,0.0,-1.0,0.038943192917028906,0.026573002225737368,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1129352594593838,0.0,-1.0,0.02823381486484595,0.1242287854053222,0.08650360299016632,0.06023213837833803,0.021858437314719446,-1.0,-1.0,-1.0,0.02823381486484595,-1.0,-1.0,0.0564676297296919,0.038943192917028906,-1.0,-1.0,-1.0,-1.0,-1.0
152115007 INTRODUCTION TO OPERATING SYSTEMS LAB.,0.09328095491348024,0.17323605912503473,0.02099831019697391,0.046196282433342596,-1.0,-1.0,-1.0,0.03331462675481438,0.02038071283823938,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09449239588638257,0.0,-1.0,0.02165450739062934,0.1120939206103166,0.07003159836969489,0.04778925768966476,0.017920971633624282,-1.0,-1.0,-1.0,0.17323605912503473,-1.0,-1.0,0.04872264162891602,0.0266517014038515,-1.0,-1.0,-1.0,-1.0,-1.0
152115011 DATABASE MANAGEMENT SYSTEMS,0.10053822424821608,0.215439051960463,0.02462160593833863,0.047875344880102894,-1.0,0.0,-1.0,0.04016660290788294,0.026113824480056124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1077195259802315,0.0,-1.0,0.026929881495057876,0.1077195259802315,0.0820720197944621,0.05200252978356004,0.023937672440051447,-1.0,-1.0,-1.0,0.05385976299011575,-1.0,-1.0,0.05385976299011575,0.037144664131114315,-1.0,-1.0,-1.0,-1.0,-1.0
152115012 DATABASE MANAGEMENT SYSTEMS LAB.,0.09592377755721537,0.17814415832054284,0.022268019790067855,0.04750510888547809,-1.0,-1.0,-1.0,0.034992602527249485,0.022268019790067855,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09716954090211427,0.0,-1.0,0.022268019790067855,0.09896897684474602,0.0678644412649687,0.04300031407737241,0.020555095190831867,-1.0,-1.0,-1.0,0.17814415832054284,-1.0,-1.0,0.04453603958013571,0.026391727158598936,-1.0,-1.0,-1.0,-1.0,-1.0
152115013 PROJE VE İŞ YÖNETİMİ,0.047423119929976866,0.06061179825369825,0.03221193051847485,0.047500735510876996,-1.0,0.0547189845345887,-1.0,0.02748674571970037,0.02260521984051861,0.1050604503064103,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.05556081506589006,0.0,-1.0,0.016415695360376608,0.07725033110765463,0.05035792260927561,0.0503414657718216,0.025481079365360707,0.030642631339369668,-1.0,0.02317509933229639,0.13132556288301286,-1.0,-1.0,0.047500735510876996,0.02317509933229639,0.04727720263788463,0.023877375069638704,0.0,-1.0,-1.0
152115016 VERİ TABANI YÖNETİM SİSTEMLERİ,0.01948821864985111,0.024128270709339466,0.024837925730202392,0.03546855794272902,0.0619292281539713,0.05004382073048185,-1.0,0.020106892257782887,0.015763803530101785,0.06609048063862549,0.049675851460404784,0.01853757383766325,0.030545363983099965,0.0633367106120161,0.04691608193482674,0.06755915798615052,0.02639029608834004,-1.0,-1.0,-1.0,-1.0,0.03440512675220628,0.03413893621640584,0.025746630330087845,0.035826826204776785,-1.0,0.022519719328716836,-1.0,0.032480364416418515,-1.0,0.04222447374134407,0.018766432773930697,0.02923232797477666,0.025021910365240926,0.028149649160896042,0.0,0.05066936848961288
152115017 İŞLETİM SİSTEMLERİNE GİRİŞ,0.04176442928955829,0.034008178135783176,0.0292543467834694,0.032388741081698265,0.09635650471805235,0.08001924267243102,-1.0,0.030769304027613353,0.015817757272457295,0.09274957673395413,0.0743928896720257,0.0242915558112737,0.048283215871790935,0.09668991822918747,-1.0,-1.0,0.03488018270336737,-1.0,-1.0,-1.0,-1.0,0.05205333388130079,0.04959525978135047,0.03376698538304713,0.017440091351683683,-1.0,0.030229491676251715,-1.0,-1.0,-1.0,0.03542518555810748,-1.0,0.0,0.00731358669586735,0.042510222669728974,-1.0,-1.0
152115018 VERİ TABANI YÖNETİM SİSTEMLERİ LAB.,0.021995679825478797,0.025468681903185977,0.02580826432856179,0.0368188553600406,0.059143939086287435,0.04963127755492652,-1.0,0.023043093150501598,0.016622689333758787,0.0652887639264212,0.04652932270774361,0.01814643585602001,0.030352461407918772,0.05922795036339864,0.044806014459308666,0.06552879614673893,0.028803866438127,-1.0,-1.0,-1.0,-1.0,0.03548636345177246,0.039291428064316826,0.0255224132996062,0.0374450263695651,-1.0,0.022403007229654333,-1.0,0.031019548471829077,-1.0,0.040325413013377796,0.023043093150501598,0.029034297369632013,0.03584481156744693,0.023043093150501598,0.0,0.040325413013377796
152115021 BÜYÜK VERİ İŞLENMESİ,0.019984821552757513,0.0,0.0,0.06661607184252505,-1.0,0.09992410776378757,-1.0,0.03747154041142034,0.035456941464569784,0.06994687543465129,0.06836912636469676,-1.0,0.049962053881893786,-1.0,0.049962053881893786,-1.0,0.09992410776378757,-1.0,-1.0,-1.0,-1.0,0.055839942573881286,0.05995446465827254,0.031226283676183617,0.033308035921262524,-1.0,0.049962053881893786,-1.0,-1.0,-1.0,0.049962053881893786,0.0,0.0,0.02220535728084168,0.0,0.09992410776378757,-1.0
152115026 YAZILIM MÜHENDİSLİĞİ,-1.0,-1.0,0.018318118875186615,0.040706930833748024,0.06487667101628593,0.0686929457819498,-1.0,0.025113550070820355,0.013993007474100885,0.07493775903485433,0.049676254576777254,0.014910096758872825,0.0339923855415834,0.07160719196663858,0.042272582019661414,0.07937851512580865,-1.0,-1.0,-1.0,-1.0,-1.0,0.04415975085982487,0.03053019812531102,0.03801873728812316,0.054954356625559836,-1.0,0.024838127288388627,-1.0,0.04579529718796653,-1.0,-1.0,-1.0,-1.0,0.027477178312779918,0.03271092656283324,0.0343464728909749,0.0686929457819498
152115019 İŞLETİM SİSTEMLERİNE GİRİŞ LAB.,0.03287363998409558,0.0375698742675378,0.02817740570065335,0.03220274937217525,0.09800836765444643,0.06762577368156804,-1.0,0.03238782264442914,0.016650285186749707,0.08922845138540227,0.0751397485350756,0.02191575998939705,0.047265325691418524,0.09832116031717339,-1.0,-1.0,0.03220274937217525,-1.0,-1.0,-1.0,-1.0,0.049129835580626356,0.0563548114013067,0.03497884845598347,0.02651991124767374,-1.0,0.025829288558932236,-1.0,-1.0,-1.0,0.040253436715219075,-1.0,0.0,0.007271588567910541,0.050093165690050394,-1.0,-1.0
152116008 INTRODUCTION TO MICROCOMPUTERS,0.022802994974512245,0.03541374219526523,0.014427820894367316,0.027998989923131573,0.05843267462218763,0.047944758664359086,-1.0,0.016821527542750986,0.012645116323126121,0.0615080785496712,0.044948211247836635,0.014494927038062048,0.026781642535169334,0.05875197885509576,0.04452013304547629,0.0612151829375299,0.03015879980500007,0.0,-1.0,0.009738779103697939,0.07791023282958351,0.031800095032483065,0.027568236232006476,0.021248245317159138,0.028228345228109967,-1.0,0.020710315055965236,0.0,0.012985038804930585,-1.0,0.03015879980500007,0.013748864616985327,0.02597007760986117,0.010693561368766365,0.019477558207395877,0.038955116414791754,0.05194015521972234
152116009 INTRODUCTION TO MICROCOMPUTERS LAB.,0.021785333040722922,0.036638969204852184,0.017403510372304785,0.0288306642923427,0.05617975278077335,0.05329304611614863,-1.0,0.01809331812585293,0.013173561961295167,0.06228624764824871,0.0426344368929189,0.015591050725469013,0.027479226903639138,0.054958453807278276,0.04070996578316909,0.06350754662174378,0.03256797262653527,0.0,-1.0,0.009159742301213046,0.07327793840970437,0.03424947121323139,0.030321905548843186,0.020631652561955597,0.0354570669724376,-1.0,0.019984892293555736,-1.0,0.03053247433737682,-1.0,0.03330815382259289,0.013739613451819569,0.026380057827493572,0.011928966717858851,0.020936553831344105,0.018319484602426092,0.036638969204852184
152116025 TASARIM SÜREÇLERİ,-1.0,-1.0,0.024735230908737606,0.09894092363495043,0.081733806481046,0.07915273890796035,-1.0,0.029373086704125907,0.005207417033418443,0.07067208831067888,0.0555034449659478,0.021643327045145405,0.03710284636310641,0.0727506791433459,-1.0,0.07420569272621282,-1.0,-1.0,-1.0,-1.0,-1.0,0.05581282871715152,0.04947046181747521,0.03201029882307219,0.07008315424142322,-1.0,0.022401718558856698,-1.0,0.029682277090485126,-1.0,-1.0,-1.0,-1.0,0.0329803078783168,-1.0,-1.0,0.05653767064854309
152116002 INTRODUCTION TO OPERATING SYSTEMS,0.0899777767604539,-1.0,0.05209239707184174,0.05398666605627235,-1.0,0.1079733321125447,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.025707936217272544,0.06748333257034043,-1.0,0.1129953475596398,-1.0,-1.0,-1.0,-1.0,0.26993333028136174,-1.0,0.05596178798516036,-1.0,-1.0,0.05141587243454509,0.1124722209505674,-1.0,-1.0,-1.0,-1.0,-1.0
152116003 ALGORITHMS AND COMPLEXITY,0.0,-1.0,0.0697729272567799,0.08694780165844881,-1.0,0.06279563453110192,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.04709672589832644,0.0,-1.0,0.2260642843119669,-1.0,-1.0,-1.0,-1.0,0.3767738071866115,-1.0,0.09915100189121355,-1.0,-1.0,0.03139781726555096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152116004 DATABASE MANAGEMENT SYSTEMS,0.12582760422283337,-1.0,0.04839523239339746,0.05354366137141846,-1.0,0.09347193456553336,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.02649002194164913,0.07190148812733335,-1.0,0.10324316243924789,-1.0,-1.0,-1.0,-1.0,0.25165520844566674,-1.0,0.054411936961225246,-1.0,-1.0,0.05921299022250982,0.11184675930918521,-1.0,-1.0,-1.0,-1.0,-1.0
152116005 COMPUTER ARCHITECTURE,0.22985498174484273,-1.0,0.04359318619298742,0.04957656469006412,-1.0,0.09318445205872003,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.024195261236299233,0.05746374543621068,-1.0,0.09318445205872003,-1.0,-1.0,0.0,-1.0,0.22985498174484273,-1.0,0.048390522472598466,-1.0,-1.0,0.054083525116433585,0.07661832724828091,-1.0,-1.0,-1.0,-1.0,-1.0
152116011 GİRİŞİMCİLİK,0.06287120430390615,0.08120863889254543,0.032214997246629594,0.03407355478008899,-1.0,0.07382603535685948,-1.0,0.03937388552365839,0.025771997797303672,0.14765207071371897,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0693322766829637,0.0,-1.0,0.023624331314195036,-1.0,0.0746697614752236,0.07481038249495095,0.018650787879627657,0.04921735690457299,-1.0,0.040888265736106794,-1.0,-1.0,-1.0,0.0506235671018465,0.019686942761829196,0.0,0.010630949091387766,0.0708729939425851,0.0,-1.0
152116012 ECONOMICS,0.05289874139753592,0.03085759914856262,0.020571732765708412,0.029388189665297732,-1.0,0.041143465531416824,-1.0,0.0212145994146368,0.014757982201486471,0.0987443172754004,0.07053165519671456,0.06171519829712524,0.0246860793188501,-1.0,-1.0,-1.0,0.06732567086959117,0.013714488510472274,-1.0,0.010285866382854206,0.04628639872284393,0.051861511174054825,0.04702110346447637,0.013714488510472274,0.0493721586377002,-1.0,0.022441890289863726,0.06171519829712524,-1.0,-1.0,0.025714665957135518,0.02742897702094455,0.03797858356746169,0.009257279744568785,0.0493721586377002,-1.0,-1.0
152116024 GİRİŞİMCİLİK,-1.0,-1.0,0.044841954919312685,-1.0,0.11697901283298962,0.11957854645150048,-1.0,0.05111982860801646,0.017936781967725073,0.10463122814506294,0.08221025068540659,0.026905172951587612,0.060235461831912564,0.12171387763813443,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08134122055131138,-1.0,0.05284944686918995,0.08071551885476283,-1.0,0.038941697693087335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152116026 BİLGİSAYAR MİMARİSİ,-1.0,-1.0,0.03038338239961992,-1.0,0.1147816668430086,0.09925238250542508,-1.0,0.05208579839934844,0.020255588266413282,0.11343129429191438,0.09289631860113677,0.022869212558853703,0.06702758299067668,0.12558464725176233,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0931757060255011,-1.0,0.07373034128974434,0.047263039288297656,-1.0,0.047263039288297656,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152116027 BİLGİSAYAR AĞLARI,-1.0,-1.0,0.02632620889659936,-1.0,0.11700537287377492,0.13163104448299678,-1.0,0.056413304778427195,0.02393291717872669,0.10530483558639744,0.08624102914403238,0.01950089547896249,0.05025912607532605,0.12313871903248087,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08916941723041717,-1.0,0.0689495947291888,0.06581552224149839,-1.0,0.03631201227117153,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152116028 BİLGİSAYAR AĞLARI LAB.,-1.0,-1.0,0.04082993554433065,-1.0,0.11565129526103507,0.09279530805529691,-1.0,0.049524180579376784,0.019442826449681257,0.10025207388116898,0.08937428287353481,0.01918699978586966,0.06215329766701386,0.13063149020879597,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08225811190249763,-1.0,0.07291059918630471,0.08749271902356566,-1.0,0.037496879581528135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152117001 ADVANCED COMPUTER ARCHITECTURE,-1.0,-1.0,0.0,0.16248702395463807,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07385773816119912,0.0,-1.0,0.1733194922182806,-1.0,-1.0,-1.0,-1.0,0.32497404790927614,-1.0,0.06300517255383925,-1.0,-1.0,0.06018037924245854,0.1421761459603083,-1.0,-1.0,-1.0,-1.0,-1.0
152117003 DATA SECURITY,0.06816471293338022,0.0,0.0,0.008520589116672528,0.03408235646669011,0.03408235646669011,-1.0,0.020449413880014065,0.01793808235088953,0.06816471293338022,0.05577112876367473,0.010486878912827726,0.03207751196864952,0.06390441837504396,0.04544314195558681,0.06816471293338022,0.0,0.010762849410533718,0.0,0.0,0.01635953110401125,0.02963683171016531,0.013632942586676045,0.03181019936891077,0.020449413880014065,0.06816471293338022,0.028067822972568324,0.012393584169705495,0.06816471293338022,-1.0,0.012393584169705495,0.03146063673848318,0.017041178233345056,0.021525698821067436,0.0,0.06816471293338022,0.022721570977793405
152117005 IMAGE PROCESSING,0.04466694124266911,0.022333470621334554,0.019851973885630717,0.0,0.0,0.05583367655333639,-1.0,0.03828594963657352,0.017866776497067645,0.08933388248533822,0.06948190859970751,0.08933388248533822,0.026800164745601467,0.08933388248533822,-1.0,-1.0,0.012761983212191174,0.017866776497067645,0.0,0.016242524088243313,0.02977796082844607,0.04892093564673284,0.051047932848764695,0.008933388248533822,0.0,0.08933388248533822,0.022333470621334554,0.019057894930205488,-1.0,-1.0,0.022333470621334554,0.02977796082844607,0.0,0.008933388248533822,0.05955592165689214,-1.0,-1.0
152117007 DATABASE PROGRAMMING,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152117008 DISTRIBUTED SYSTEMS,0.0,0.08658672284055198,0.024739063668729137,0.034634689136220795,0.06494004213041399,-1.0,-1.0,0.008246354556243046,0.009277148875773427,0.051952033704331185,0.06494004213041399,0.0,0.012369531834364568,0.05510064180762399,0.034634689136220795,-1.0,0.04329336142027599,0.04329336142027599,0.0,-1.0,0.053284137132647375,0.04329336142027599,0.015743040516463996,0.015743040516463996,0.08658672284055198,0.08658672284055198,0.014431120473425329,0.015393195171653686,0.0,-1.0,0.03030535299419319,0.010823340355068998,-1.0,0.021646680710137995,0.04329336142027599,0.0,0.028862240946850658
152117009 COMPUTER ARCHITECTURE,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.13137032842582105,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.3941109852774632,0.24462061155152887,0.0,0.0,-1.0,-1.0,-1.0,0.0985277463193658,-1.0,-1.0,0.13137032842582105,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
